1,イスラームの世界(World of Islam),哲学・神秘主義・原理主義,青木　健(AOKI TAKESHI),春学期(Spring Semester),２単位(2 Credits),CMP2100,日本語(Japanese),・2016年度以降1年次入学者対象科目,イスラーム思想を東方キリスト教・ゾロアスター教など，西アジアの諸思想との比較の中で理解する。,イスラームの形成と発展に至る歴史的展開を重視する。古代末期に東方キリスト教・ゾロアスター教の文化圏でイスラームが成立する過程から始まり，ヘレニズムの影響下に哲学・科学を受容して独特のイスラーム文明を発展させるまでを追う。,必要に応じて別途指示する。,"",小杉泰『イスラームとは何か』（講談社現代新書　1994年）,井筒俊彦『イスラーム思想史』（中公文庫 2005年)森安達也『キリスト教史Ⅲ　東方キリスト教』（山川出版社 1978年）,"",""
2,キリスト教美術(Christian Art),美術における聖母マリア：聖母への祈りとイメージ,黒岩　三恵(KUROIWA MIE),秋学期(Fall Semester),２単位(2 Credits),CMP2300,日本語(Japanese),"",中世以来、広く民衆の信仰を集めた聖母のイメージについて、説教集、説話集、奇跡譚等の俗語文献や聖書、聖歌等に依拠し、神の母という聖母の教義を基礎としながら多彩な広がりと奥行きを持つ聖母のイメージに親しみ、キリスト教美術の象徴性を理解する。,特に12世紀以降に隆盛をみた聖母への崇敬を反映する、慈しみの聖母、天后、エクレシア等の種々の呼称を持ち多彩な象徴性を帯びるに至ったマリアのイメージについて扱う。聖書の記述を出発点として、俗語で著された聖母の奇跡譚、聖母への祈祷文などのテクストを参照しながら、多様な聖母図像の意味と機能について多角的に考察する。,授業時に紹介した参考文献には目を通しておくこと。キーワードと典型的な聖母像の類型について、画集やウェブサイトなどを利用して理解を確かなものとすること。,"",なし,参考文献のほか、講義で取り上げた美術作品など関連する図像のウェブサイトやデータベース等については、随時授業時に紹介していく。,"",""
3,グローバル社会での平和構築(Peace Building in a Global Society),アジアと私たちの平和,堀　芳枝(HORI YOSHIE),春学期(Spring Semester),２単位(2 Credits),CMP1100,日本語(Japanese),・2016年度以降1年次入学者対象科目・学びの精神科目,（１）平和学（研究）における基本的な概念を整理し、説明することができる。¥n（２）グローバル社会におけるさまざまな構造的暴力に気づき、その構造について自分の言葉で説明することができる。¥n（３）民族紛争、難民問題について、その発生と原因、解決に向けたの国家の援助政策（ODA）、NGOの役割、国際期間などがどのような対応をしているのかを理解し、説明することができる。（４）アジアにおける近代国家、民族（ナショナリズム）、戦争と平和の歴史についての理解を深める,平和とは単に戦争やテロがない状態をいうのではなく、構造的暴力（貧困や偏見・差別によって生じる不平等や権力の非対称性など）のない状態をいう。今日のグローバル社会の中で、どのような構造的暴力があるのか、なぜテロや民族紛争がおこるのか。簡単に歴史を踏まえながら、平和の実現について考えてゆく授業である。※NGOの方を招へいして特別授業をするつもりですので、相手のスケジュールによって、授業の順番が変更することがあります。,授業で指示しますが、テキストとしてあげた『学生のためのピース・ノート２』の中から、授業の復習として関連する章、補足として読んでもらいたい章について「1000字要約レポート」を適宜宿題に出す予定です。成績評価の20％を占める予定です。,"","",授業で適宜紹介します。,"",""
4,情報科学Ａ(Information Science A),身の回りの支える情報科学,佐藤　尚(SATOU HISASHI),秋学期(Fall Semester),２単位(2 Credits),CMP2500,日本語(Japanese),・2006年度以降1年次入学者対象科目,情報のデジタル化に関わる基本的な事項を理解できるようになる。¥nコンピュータやマルチメディア情報処理の基礎にある仕組みを理解できるようになる。¥n人工知能に関わるの基本的な仕組みを理解できるようになる。,情報処理の「仕組みや原理の理解」を目的として， 情報のデジタル化の概念からコンピュータの基本的な機構，マルチメディアシステム、人工知能の基礎な事項などについて学ぶ。,参考文献や中間レポート課題などはBlackboard上で告知する。,"",特定のテキストは使用しない。,授業中やCHORUSで告知する。,"",""
5,市民活動の組織とマネジメント(Theory and Practice of Civic Engagement in Organaizing and Management in RSL),市民活動団体（NPO）が現代社会で果たす役割とそのマネジメントのあり方,原田　晃樹(HARADA KOKI),秋学期(Fall Semester),２単位(2 Credits),CMP2200,日本語(Japanese),"",この授業では、何らかの社会問題に気づいた人びとが、自発的・主体的に協力して、集合的にその解決に向けて取り組む組織を取り上げ、そのマネジメントのあり方や社会的機能について基本的な理解を図ることを目的とする。,今日、市民活動団体（NPO）は、市民運動や市民参加の担い手として、あるいは政府に代わる公共サービスの担い手として注目を集めている。この授業では、NPOの沿革や組織・活動の特徴について触れながら、それが社会で果たしている役割やそのマネジメントのあり方などについて学ぶ。,事前に指示されたテキストや新聞・雑誌記事の該当箇所を読み、関連情報を自分なりに理解しておくと、授業内容をよりよく理解できるだろう。¥nなお、受講人数にもよるが、可能であれば、グループ・ディスカッションもとりいれたい。,"",これ以外に、授業の際に適宜資料を配付する。,"",・この科目は、立教サービスラーニング（ＲＳＬ）科目群のひとつである。,""
6,スペイン語圏の文化　　　　　　　　　　　　　　　　　　　新座(Culture in the Spanish-speaking sphere),<スペイン語がアメリカ語になるまで>,飯島　みどり(IIJIMA MIDORI),秋学期(Fall Semester),２単位(2 Credits),CMP2100,日本語(Japanese),"",　スペイン語を公用語とする世界に生きる人々の常識に触れ、その世界の構成原理や人々の行動様式を理解する。こうした背景理解を踏まえ、言語としてのスペイン語の特色を把握する。,　スペイン語をスペイン国家とのみ結びつける誤解から離れ、「スペイン語」がスペインの言語かどうかを再検討するとともに、スペイン語圏人口の９割を占めるアメリカ大陸を正当に認知する。,　スペイン語の知識は必ずしも要件としないが予備知識があればなおよい。それより地理・歴史の常識を備えておくこと。,"",　プリント配布。　高校時に使用した年表および地図帳。,　適宜指示する。ただし読まなければ「参考」にはならない。,　講義期間中その都度関連する展覧会や映画上映など紹介するので活用すること。スペイン語圏を含む世界の動きにも日々触れておくこと。,""
7,スポーツスタディ２　　　　　　　　　　　　　　　　　　　新座(Sports Study 2),セルフケア・エクササイズ,大石　友子(OOISHI TOMOKO),春学期(Spring Semester),２単位(2 Credits),CMP1220,日本語(Japanese),・定員40名・月曜1時限,「自分自身とも環境とも調和して生きる」，この現代社会の命題に，ヨガを手掛かりにアプローチする。ヨガの理論を概観した上で，運動と呼吸法の基礎を学び，各自が自己の心身の状態に気付き，理解し，整え，鍛えるための継続可能なボディワークとして習得する。,講義では，ヨガの基礎知識と基本原理の概説を行う。実習では，１）６領域の基本的アーサナ（運動）とそのバリエーション，２）基本的なプラナヤーマ（呼吸法）の解説を行い，実践する。セッションは十数種のアーサナを組合せた流れで行うが，毎回一つの主要テーマにスポットを当てて取り組む。,履修登録完了後に，必要に応じてBlackboard上で指示する。,単位修得のためには２／３以上の出席が必要となる。,授業時に資料を配布する。,必要に応じて授業中に紹介する。,当該年度の定期健康診断を必ず受診すること。授業初回に健康診断の受診の有無を確認する。¥nヨガは体幹を鍛え，筋力ＵＰに大きな効果があり，運動量も多い。性別によらず楽しめる有意義な運動である。男女問わず受講してもらいたい。,""
8,スポーツスタディ２(Sports Study 2),トレーニング,岡田　純一(OKADA JUNICHI),春学期(Spring Semester),２単位(2 Credits),CMP1220,日本語(Japanese),・定員30名・月曜1時限,安全で効果的なレジスタンストレーニングを実施するために，適切な挙上フォーム，目的に応じたプログラム作成法および実践法を習得する。,抵抗を利用し身体の機能向上を図るResistance Trainingは，スポーツ選手はもとより，健康・体力づくり運動といった視点で一般成人においても広く実践されている。しかし，不適切な方法での実施は傷害の発生を誘発する。実践を通して，安全に重量を挙上できる適切なフォームを習得し，技能向上を目指す。また，対象者のニーズに基づいたプログラムの計画と実施および効果測定について実践する。,必要に応じて，授業中に指示する。¥nトレーニングウェア，シューズを着用すること。裸足やスリッパでの参加は厳禁とする。¥n当該年度の定期健康診断を必ず受診すること。授業初回に健康診断の受診の有無を確認する。,単位修得のためには２／３以上の出席が必要となる。,"","","",""
9,スポーツスタディ２(Sports Study 2),トレーニング,岡田　純一(OKADA JUNICHI),秋学期(Fall Semester),２単位(2 Credits),CMP1220,日本語(Japanese),・定員30名・月曜1時限,安全で効果的なレジスタンストレーニングを実施するために，適切な挙上フォーム，目的に応じたプログラム作成法および実践法を習得する。,抵抗を利用し身体の機能向上を図るResistance Trainingは，スポーツ選手はもとより，健康・体力づくり運動といった視点で一般成人においても広く実践されている。しかし，不適切な方法での実施は傷害の発生を誘発する。実践を通して，安全に重量を挙上できる適切なフォームを習得し，技能向上を目指す。また，対象者のニーズに基づいたプログラムの計画と実施および効果測定について実践する。,必要に応じて，授業中に指示する。¥nトレーニングウェア，シューズを着用すること。裸足やスリッパでの参加は厳禁とする。¥n当該年度の定期健康診断を必ず受診すること。授業初回に健康診断の受診の有無を確認する。,単位修得のためには２／３以上の出席が必要となる。,"","","",""
10,スポーツと文化　　　　　　　　　　　　　　　　　　　　　新座(Sports and Culture),近・現代のスポーツ特有の文化的特性を多面的に理解する,高峰　修(TAKAMINE OSAMU),秋学期(Fall Semester),２単位(2 Credits),CMP2400,日本語(Japanese),"",これまでは「やる」対象であったスポーツを「知る」「考える」対象として位置づけ、近･現代のスポーツ文化について「観念」や「規範」、「技術」、「物質」といった面から理解を深める。,毎回の講義にテーマを設定し、そのテーマについて、テキストやその他の資料･映像などの情報を基にして、各テーマについて講義する。授業中にグループでの意見交換なども行う予定である。,毎回のテーマに関わるテキストの該当部分を事前に熟読してくること。詳細については講義時間内に説明する。,3分の2以上の出席を単位取得の条件とする。,"","","",""
